alpha	x	y	clickSelects	PANEL	group	ymin	ymax	xmin	xmax
0.55	0.272607592512809	0.954545454545454	2011_05_17	1	22	0.0454545454545455	0.954545454545454	0.270453348652401	0.274761836373218
0.55	0.277394801091487	0.954545454545454	2011_05_18	1	23	0.0454545454545455	0.954545454545454	0.275240557231078	0.279549044951895
0.55	0.310905261142231	0.954545454545454	2011_05_25	1	24	0.0454545454545455	0.954545454545454	0.308751017281822	0.313059505002639
0.55	0.325266886878264	0.954545454545454	2011_05_28	1	25	0.0454545454545455	0.954545454545454	0.323112643017855	0.327421130738672
0.55	0.344415721192975	0.954545454545454	2011_06_01	1	26	0.0454545454545455	0.954545454545454	0.342261477332566	0.346569965053383
0.55	0.358777346929008	0.954545454545454	2011_06_04	1	27	0.0454545454545455	0.954545454545454	0.356623103068599	0.360931590789416
0.55	0.363564555507685	0.954545454545454	2011_06_05	1	28	0.0454545454545455	0.954545454545454	0.361410311647277	0.365718799368094
0.55	0.387500598401074	0.954545454545454	2011_06_10	1	29	0.0454545454545455	0.954545454545454	0.385346354540666	0.389654842261482
0.55	0.41622384987314	0.954545454545454	2011_06_16	1	30	0.0454545454545455	0.954545454545454	0.414069606012732	0.418378093733549
0.55	0.425798267030496	0.954545454545454	2011_06_18	1	31	0.0454545454545455	0.954545454545454	0.423644023170087	0.427952510890904
0.55	0.435372684187851	0.954545454545454	2011_06_20	1	32	0.0454545454545455	0.954545454545454	0.433218440327443	0.437526928048259
0.55	0.444947101345206	0.954545454545454	2011_06_22	1	33	0.0454545454545455	0.954545454545454	0.442792857484798	0.447101345205615
0.55	0.464095935659917	0.954545454545454	2011_06_26	1	34	0.0454545454545455	0.954545454545454	0.461941691799509	0.466250179520326
0.55	0.47845756139595	0.954545454545454	2011_06_29	1	35	0.0454545454545455	0.954545454545454	0.476303317535542	0.480611805256359
0.55	0.488031978553306	0.954545454545454	2011_07_01	1	36	0.0454545454545455	0.954545454545454	0.485877734692897	0.490186222413714
0.55	0.497606395710661	0.954545454545454	2011_07_03	1	37	0.0454545454545455	0.954545454545454	0.495452151850253	0.49976063957107
0.55	0.526329647182727	0.954545454545454	2011_07_09	1	39	0.0454545454545455	0.954545454545454	0.524175403322319	0.528483891043136
0.55	0.559840107233471	0.954545454545454	2011_07_16	1	40	0.0454545454545455	0.954545454545454	0.557685863373063	0.56199435109388
0.55	0.569414524390827	0.954545454545454	2011_07_18	1	42	0.0454545454545455	0.954545454545454	0.567260280530418	0.571568768251235
0.55	0.578988941548182	0.954545454545454	2011_07_20	1	43	0.0454545454545455	0.954545454545454	0.576834697687774	0.581143185408591
0.55	0.598137775862893	0.954545454545454	2011_07_24	1	45	0.0454545454545455	0.954545454545454	0.595983532002484	0.600292019723301
0.55	0.607712193020248	0.954545454545454	2011_07_26	1	46	0.0454545454545455	0.954545454545454	0.60555794915984	0.609866436880657
0.55	0.631648235913637	0.954545454545454	2011_07_31	1	48	0.0454545454545455	0.954545454545454	0.629493992053228	0.633802479774045
0.55	0.636435444492314	0.954545454545454	2011_08_01	1	49	0.0454545454545455	0.954545454545454	0.634281200631906	0.638589688352723
0.55	0.655584278807025	0.954545454545454	2011_08_05	1	51	0.0454545454545455	0.954545454545454	0.653430034946617	0.657738522667434
0.55	0.665158695964381	0.954545454545454	2011_08_07	1	52	0.0454545454545455	0.954545454545454	0.663004452103972	0.667312939824789
0.55	0.674733113121736	0.954545454545454	2011_08_09	1	53	0.0454545454545455	0.954545454545454	0.672578869261328	0.676887356982145
0.55	0.684307530279092	0.954545454545454	2011_08_11	1	54	0.0454545454545455	0.954545454545454	0.682153286418683	0.6864617741395
0.55	0.703456364593802	0.954545454545454	2011_08_15	1	56	0.0454545454545455	0.954545454545454	0.701302120733394	0.705610608454211
0.55	0.70824357317248	0.954545454545454	2011_08_16	1	57	0.0454545454545455	0.954545454545454	0.706089329312072	0.710397817032889
0.55	0.732179616065869	0.954545454545454	2011_08_21	1	59	0.0454545454545455	0.954545454545454	0.73002537220546	0.734333859926277
0.55	0.746541241801902	0.954545454545454	2011_08_24	1	60	0.0454545454545455	0.954545454545454	0.744386997941493	0.74869548566231
0.55	0.77047728469529	0.954545454545454	2011_08_29	1	62	0.0454545454545455	0.954545454545454	0.768323040834882	0.772631528555699
0.55	0.775264493273968	0.954545454545454	2011_08_30	1	63	0.0454545454545455	0.954545454545454	0.773110249413559	0.777418737134376
0.55	0.784838910431323	0.954545454545454	2011_09_01	1	65	0.0454545454545455	0.954545454545454	0.782684666570915	0.786993154291732
0.55	0.789626119010001	0.954545454545454	2011_09_02	1	66	0.0454545454545455	0.954545454545454	0.787471875149593	0.791780362870409
0.55	0.803987744746034	0.954545454545454	2011_09_05	1	67	0.0454545454545455	0.954545454545454	0.801833500885626	0.806141988606443
0.55	0.808774953324712	0.954545454545454	2011_09_06	1	68	0.0454545454545455	0.954545454545454	0.806620709464303	0.81092919718512
0.55	0.8327109962181	0.954545454545454	2011_09_11	1	69	0.0454545454545455	0.954545454545454	0.830556752357692	0.834865240078509
0.55	0.842285413375456	0.954545454545454	2011_09_13	1	71	0.0454545454545455	0.954545454545454	0.840131169515047	0.844439657235864
0.55	0.861434247690167	0.954545454545454	2011_09_17	1	72	0.0454545454545455	0.954545454545454	0.859280003829758	0.863588491550575
0.55	0.871008664847522	0.954545454545454	2011_09_19	1	73	0.0454545454545455	0.954545454545454	0.868854420987114	0.87316290870793
0.55	0.880583082004877	0.954545454545454	2011_09_21	1	74	0.0454545454545455	0.954545454545454	0.878428838144469	0.882737325865286
0.55	0.899731916319588	0.954545454545454	2011_09_25	1	75	0.0454545454545455	0.954545454545454	0.89757767245918	0.901886160179997
0.55	0.909306333476944	0.954545454545454	2011_09_27	1	77	0.0454545454545455	0.954545454545454	0.907152089616535	0.911460577337352
0.55	0.923667959212977	0.954545454545454	2011_09_30	1	79	0.0454545454545455	0.954545454545454	0.921513715352568	0.925822203073385
0.55	0.952391210685043	0.954545454545454	2011_10_06	1	81	0.0454545454545455	0.954545454545454	0.950236966824634	0.954545454545451
0.55	0.0619704150509902	0.954545454545454	2011_04_03	1	3	0.0454545454545455	0.954545454545454	0.0598161711905817	0.0641246589113986
0.55	0.0859064579443787	0.954545454545454	2011_04_08	1	7	0.0454545454545455	0.954545454545454	0.0837522140839702	0.0880607018047871
0.55	0.114629709416445	0.954545454545454	2011_04_14	1	9	0.0454545454545455	0.954545454545454	0.112475465556036	0.116783953276853
0.55	0.511968021446694	0.954545454545454	2011_07_06	1	38	0.0454545454545455	0.954545454545454	0.509813777586286	0.514122265307103
0.55	0.564627315812149	0.954545454545454	2011_07_17	1	41	0.0454545454545455	0.954545454545454	0.562473071951741	0.566781559672557
0.55	0.588563358705538	0.954545454545454	2011_07_22	1	44	0.0454545454545455	0.954545454545454	0.586409114845129	0.590717602565946
0.55	0.612499401598926	0.954545454545454	2011_07_27	1	47	0.0454545454545455	0.954545454545454	0.610345157738518	0.614653645459334
0.55	0.641222653070992	0.954545454545454	2011_08_02	1	50	0.0454545454545455	0.954545454545454	0.639068409210584	0.643376896931401
0.55	0.693881947436447	0.954545454545454	2011_08_13	1	55	0.0454545454545455	0.954545454545454	0.691727703576039	0.696036191296855
0.55	0.722605198908513	0.954545454545454	2011_08_19	1	58	0.0454545454545455	0.954545454545454	0.720450955048105	0.724759442768922
0.55	0.751328450380579	0.954545454545454	2011_08_25	1	61	0.0454545454545455	0.954545454545454	0.749174206520171	0.753482694240988
0.55	0.780051701852646	0.954545454545454	2011_08_31	1	64	0.0454545454545455	0.954545454545454	0.777897457992237	0.782205945713054
0.55	0.808774953324712	0.954545454545454	2011_09_06	1	68	0.0454545454545455	0.954545454545454	0.806620709464303	0.81092919718512
0.55	0.837498204796778	0.954545454545454	2011_09_12	1	70	0.0454545454545455	0.954545454545454	0.83534396093637	0.839652448657186
0.55	0.904519124898266	0.954545454545454	2011_09_26	1	76	0.0454545454545455	0.954545454545454	0.902364881037858	0.906673368758674
0.55	0.0571832064723125	0.954545454545454	2011_04_02	1	2	0.0454545454545455	0.954545454545454	0.055028962611904	0.0593374503327209
0.55	0.0667576236296679	0.954545454545454	2011_04_04	1	4	0.0454545454545455	0.954545454545454	0.0646033797692594	0.0689118674900763
0.55	0.0715448322083456	0.954545454545454	2011_04_05	1	5	0.0454545454545455	0.954545454545454	0.0693905883479371	0.073699076068754
0.55	0.081119249365701	0.954545454545454	2011_04_07	1	6	0.0454545454545455	0.954545454545454	0.0789650055052925	0.0832734932261094
0.55	0.114629709416445	0.954545454545454	2011_04_14	1	9	0.0454545454545455	0.954545454545454	0.112475465556036	0.116783953276853
0.55	0.1242041265738	0.954545454545454	2011_04_16	1	10	0.0454545454545455	0.954545454545454	0.122049882713392	0.126358370434209
0.55	0.138565752309833	0.954545454545454	2011_04_19	1	12	0.0454545454545455	0.954545454545454	0.136411508449425	0.140719996170242
0.55	0.162501795203222	0.954545454545454	2011_04_24	1	13	0.0454545454545455	0.954545454545454	0.160347551342814	0.16465603906363
0.55	0.191225046675288	0.954545454545454	2011_04_30	1	15	0.0454545454545455	0.954545454545454	0.18907080281488	0.193379290535697
0.55	0.196012255253966	0.954545454545454	2011_05_01	1	16	0.0454545454545455	0.954545454545454	0.193858011393557	0.198166499114374
0.55	0.200799463832644	0.954545454545454	2011_05_02	1	17	0.0454545454545455	0.954545454545454	0.198645219972235	0.202953707693052
0.55	0.219948298147354	0.954545454545454	2011_05_06	1	18	0.0454545454545455	0.954545454545454	0.217794054286946	0.222102542007763
0.55	0.239097132462065	0.954545454545454	2011_05_10	1	19	0.0454545454545455	0.954545454545454	0.236942888601657	0.241251376322474
0.55	0.243884341040743	0.954545454545454	2011_05_11	1	20	0.0454545454545455	0.954545454545454	0.241730097180334	0.246038584901151
0.55	0.263033175355454	0.954545454545454	2011_05_15	1	21	0.0454545454545455	0.954545454545454	0.260878931495045	0.265187419215862
0.55	0.277394801091487	0.954545454545454	2011_05_18	1	23	0.0454545454545455	0.954545454545454	0.275240557231078	0.279549044951895
0.55	0.310905261142231	0.954545454545454	2011_05_25	1	24	0.0454545454545455	0.954545454545454	0.308751017281822	0.313059505002639
0.55	0.363564555507685	0.954545454545454	2011_06_05	1	28	0.0454545454545455	0.954545454545454	0.361410311647277	0.365718799368094
0.55	0.387500598401074	0.954545454545454	2011_06_10	1	29	0.0454545454545455	0.954545454545454	0.385346354540666	0.389654842261482
0.55	0.41622384987314	0.954545454545454	2011_06_16	1	30	0.0454545454545455	0.954545454545454	0.414069606012732	0.418378093733549
0.55	0.425798267030496	0.954545454545454	2011_06_18	1	31	0.0454545454545455	0.954545454545454	0.423644023170087	0.427952510890904
0.55	0.444947101345206	0.954545454545454	2011_06_22	1	33	0.0454545454545455	0.954545454545454	0.442792857484798	0.447101345205615
0.55	0.464095935659917	0.954545454545454	2011_06_26	1	34	0.0454545454545455	0.954545454545454	0.461941691799509	0.466250179520326
0.55	0.47845756139595	0.954545454545454	2011_06_29	1	35	0.0454545454545455	0.954545454545454	0.476303317535542	0.480611805256359
0.55	0.488031978553306	0.954545454545454	2011_07_01	1	36	0.0454545454545455	0.954545454545454	0.485877734692897	0.490186222413714
0.55	0.497606395710661	0.954545454545454	2011_07_03	1	37	0.0454545454545455	0.954545454545454	0.495452151850253	0.49976063957107
0.55	0.526329647182727	0.954545454545454	2011_07_09	1	39	0.0454545454545455	0.954545454545454	0.524175403322319	0.528483891043136
0.55	0.559840107233471	0.954545454545454	2011_07_16	1	40	0.0454545454545455	0.954545454545454	0.557685863373063	0.56199435109388
0.55	0.578988941548182	0.954545454545454	2011_07_20	1	43	0.0454545454545455	0.954545454545454	0.576834697687774	0.581143185408591
0.55	0.631648235913637	0.954545454545454	2011_07_31	1	48	0.0454545454545455	0.954545454545454	0.629493992053228	0.633802479774045
0.55	0.636435444492314	0.954545454545454	2011_08_01	1	49	0.0454545454545455	0.954545454545454	0.634281200631906	0.638589688352723
0.55	0.655584278807025	0.954545454545454	2011_08_05	1	51	0.0454545454545455	0.954545454545454	0.653430034946617	0.657738522667434
0.55	0.665158695964381	0.954545454545454	2011_08_07	1	52	0.0454545454545455	0.954545454545454	0.663004452103972	0.667312939824789
0.55	0.674733113121736	0.954545454545454	2011_08_09	1	53	0.0454545454545455	0.954545454545454	0.672578869261328	0.676887356982145
0.55	0.703456364593802	0.954545454545454	2011_08_15	1	56	0.0454545454545455	0.954545454545454	0.701302120733394	0.705610608454211
0.55	0.70824357317248	0.954545454545454	2011_08_16	1	57	0.0454545454545455	0.954545454545454	0.706089329312072	0.710397817032889
0.55	0.746541241801902	0.954545454545454	2011_08_24	1	60	0.0454545454545455	0.954545454545454	0.744386997941493	0.74869548566231
0.55	0.77047728469529	0.954545454545454	2011_08_29	1	62	0.0454545454545455	0.954545454545454	0.768323040834882	0.772631528555699
0.55	0.775264493273968	0.954545454545454	2011_08_30	1	63	0.0454545454545455	0.954545454545454	0.773110249413559	0.777418737134376
0.55	0.784838910431323	0.954545454545454	2011_09_01	1	65	0.0454545454545455	0.954545454545454	0.782684666570915	0.786993154291732
0.55	0.789626119010001	0.954545454545454	2011_09_02	1	66	0.0454545454545455	0.954545454545454	0.787471875149593	0.791780362870409
0.55	0.803987744746034	0.954545454545454	2011_09_05	1	67	0.0454545454545455	0.954545454545454	0.801833500885626	0.806141988606443
0.55	0.808774953324712	0.954545454545454	2011_09_06	1	68	0.0454545454545455	0.954545454545454	0.806620709464303	0.81092919718512
0.55	0.8327109962181	0.954545454545454	2011_09_11	1	69	0.0454545454545455	0.954545454545454	0.830556752357692	0.834865240078509
0.55	0.842285413375456	0.954545454545454	2011_09_13	1	71	0.0454545454545455	0.954545454545454	0.840131169515047	0.844439657235864
0.55	0.871008664847522	0.954545454545454	2011_09_19	1	73	0.0454545454545455	0.954545454545454	0.868854420987114	0.87316290870793
0.55	0.880583082004877	0.954545454545454	2011_09_21	1	74	0.0454545454545455	0.954545454545454	0.878428838144469	0.882737325865286
0.55	0.899731916319588	0.954545454545454	2011_09_25	1	75	0.0454545454545455	0.954545454545454	0.89757767245918	0.901886160179997
0.55	0.909306333476944	0.954545454545454	2011_09_27	1	77	0.0454545454545455	0.954545454545454	0.907152089616535	0.911460577337352
0.55	0.952391210685043	0.954545454545454	2011_10_06	1	81	0.0454545454545455	0.954545454545454	0.950236966824634	0.954545454545451
0.55	0.0619704150509902	0.954545454545454	2011_04_03	1	3	0.0454545454545455	0.954545454545454	0.0598161711905817	0.0641246589113986
0.55	0.0859064579443787	0.954545454545454	2011_04_08	1	7	0.0454545454545455	0.954545454545454	0.0837522140839702	0.0880607018047871
0.55	0.114629709416445	0.954545454545454	2011_04_14	1	9	0.0454545454545455	0.954545454545454	0.112475465556036	0.116783953276853
0.55	0.511968021446694	0.954545454545454	2011_07_06	1	38	0.0454545454545455	0.954545454545454	0.509813777586286	0.514122265307103
0.55	0.564627315812149	0.954545454545454	2011_07_17	1	41	0.0454545454545455	0.954545454545454	0.562473071951741	0.566781559672557
0.55	0.588563358705538	0.954545454545454	2011_07_22	1	44	0.0454545454545455	0.954545454545454	0.586409114845129	0.590717602565946
0.55	0.612499401598926	0.954545454545454	2011_07_27	1	47	0.0454545454545455	0.954545454545454	0.610345157738518	0.614653645459334
0.55	0.641222653070992	0.954545454545454	2011_08_02	1	50	0.0454545454545455	0.954545454545454	0.639068409210584	0.643376896931401
0.55	0.665158695964381	0.954545454545454	2011_08_07	1	52	0.0454545454545455	0.954545454545454	0.663004452103972	0.667312939824789
0.55	0.693881947436447	0.954545454545454	2011_08_13	1	55	0.0454545454545455	0.954545454545454	0.691727703576039	0.696036191296855
0.55	0.722605198908513	0.954545454545454	2011_08_19	1	58	0.0454545454545455	0.954545454545454	0.720450955048105	0.724759442768922
0.55	0.751328450380579	0.954545454545454	2011_08_25	1	61	0.0454545454545455	0.954545454545454	0.749174206520171	0.753482694240988
0.55	0.780051701852646	0.954545454545454	2011_08_31	1	64	0.0454545454545455	0.954545454545454	0.777897457992237	0.782205945713054
0.55	0.808774953324712	0.954545454545454	2011_09_06	1	68	0.0454545454545455	0.954545454545454	0.806620709464303	0.81092919718512
0.55	0.837498204796778	0.954545454545454	2011_09_12	1	70	0.0454545454545455	0.954545454545454	0.83534396093637	0.839652448657186
0.55	0.904519124898266	0.954545454545454	2011_09_26	1	76	0.0454545454545455	0.954545454545454	0.902364881037858	0.906673368758674
0.55	0.914093542055621	0.954545454545454	2011_09_28	1	78	0.0454545454545455	0.954545454545454	0.911939298195213	0.91624778591603
0.55	0.942816793527688	0.954545454545454	2011_10_04	1	80	0.0454545454545455	0.954545454545454	0.940662549667279	0.944971037388096
0.55	0.952391210685043	0.954545454545454	2011_10_06	1	81	0.0454545454545455	0.954545454545454	0.950236966824634	0.954545454545451
